iter	Passed	Remaining
0	2	233
1	4	234
2	6	217
3	8	215
4	11	216
5	13	211
6	15	207
7	18	209
8	20	207
9	23	207
10	25	204
11	27	202
12	29	200
13	31	195
14	34	193
15	36	191
16	38	189
17	41	186
18	43	185
19	45	182
20	47	179
21	50	177
22	52	175
23	54	172
24	56	169
25	58	166
26	60	164
27	62	161
28	65	159
29	67	157
30	69	154
31	71	151
32	73	149
33	75	147
34	77	144
35	80	142
36	82	140
37	84	138
38	87	136
39	89	134
40	91	131
41	92	127
42	94	125
43	97	123
44	99	121
45	101	119
46	104	118
47	107	116
48	109	114
49	111	111
50	114	109
51	116	107
52	118	105
53	120	102
54	122	100
55	124	97
56	126	95
57	128	92
58	130	90
59	132	88
60	135	86
61	138	84
62	140	82
63	142	80
64	145	78
65	147	75
66	149	73
67	152	71
68	154	69
69	156	67
70	158	64
71	161	62
72	163	60
73	165	58
74	168	56
75	170	53
76	172	51
77	175	49
78	177	47
79	179	44
80	181	42
81	183	40
82	185	38
83	187	35
84	189	33
85	192	31
86	194	29
87	196	26
88	199	24
89	201	22
90	203	20
91	204	17
92	207	15
93	209	13
94	211	11
95	214	8
96	216	6
97	218	4
98	221	2
99	223	0
